51	9	遂宁
51	10	内江
51	11	乐山
51	13	南充
51	14	眉山
51	15	宜宾
51	16	广安
51	17	达州
51	18	雅安
51	19	巴中
51	20	资阳
51	32	阿坝
51	33	甘孜
51	34	凉山
52	1	贵阳
52	2	六盘水
52	3	遵义
52	4	安顺
52	5	毕节
52	6	铜仁
52	23	黔西南
52	26	黔东南
52	27	黔南
53	1	昆明
53	3	曲靖
53	4	玉溪
53	5	保山
53	6	昭通
53	7	丽江
53	8	普洱
53	9	临沧
53	23	楚雄
53	25	红河
53	26	文山
53	28	西双版纳
53	29	大理
53	31	德宏
53	33	怒江
53	34	迪庆
54	1	拉萨
54	2	日喀则
54	3	昌都
54	4	林芝
54	5	山南
54	24	那曲
54	25	阿里
61	1	西安
61	2	铜川
61	3	宝鸡
61	4	咸阳
61	5	渭南
61	6	延安
61	7	汉中
61	8	榆林
61	9	安康
61	10	商洛
62	1	兰州
62	2	嘉峪关
62	3	金昌
62	4	白银
62	5	天水
62	6	武威
62	7	张掖
62	8	平凉
62	9	酒泉
62	10	庆阳
62	11	定西
62	12	陇南
62	29	临夏
62	30	甘南
63	1	西宁
63	2	海东
63	22	海北
63	23	黄南
63	25	海南
63	26	果洛
63	27	玉树
63	28	海西
64	1	银川
64	2	石嘴山
64	3	吴忠
64	4	固原
64	5	中卫
65	1	乌鲁木齐
65	2	克拉玛依
65	4	吐鲁番
65	5	哈密
65	23	昌吉
65	27	博尔塔拉
65	28	巴音郭楞
65	29	阿克苏
65	30	克孜勒苏
65	31	喀什
65	32	和田
65	40	伊犁
65	42	塔城
65	43	阿勒泰
65	91	石河子
65	92	阿拉尔
65	93	图木舒克
65	94	五家渠
65	96	铁门关
